Fiscal Year Ending,Employer Contributions,Covered employee payroll,Contrib. as perc. Of CEC,Plan Fiduciary Net Position,Total Pension Liability,Funded Ratio
2020,VALUES UNAVAILABLE --->,,,,,<---
2019,"$6,335,317.00","$10,404,063.00",60.89%,"$118,924,477.00","$152,353,535.00",78.06%
2018,"$5,681,991.00","$10,016,927.00",56.72%,"$110,204,130.00","$140,022,182.00",78.70%
2017,"$5,513,902.00","$9,121,573.00",60.45%,"$100,358,049.00","$124,812,416.00",80.41%
2016,"$5,455,449.00","$9,322,883.00",58.52%,"$89,872,797.00","$122,849,567.00",73.16%
2015,"$4,821,859.00","$8,949,846.00",53.88%,"$89,279,739.00","$123,013,589.00",72.58%
2014,"$4,642,152.00","$8,643,663.00",53.71%,"$81,385,297.00","$119,429,762.00",68.14%
2013,"$4,327,098.00","$8,123,801.00",53.26%,"$77,003,976.00","$112,266,982.00",68.59%
2012,"$4,108,746.00","$8,499,730.00",48.34%,"$67,953,975.00","$107,209,059.00",63.38%
2011,"$3,689,647.00","$8,447,873.00",43.68%,"$66,623,614.00","$101,804,358.00",65.44%
(Ending June 30),,,,,,
