Fiscal Year Ending,Employer Contributions,Covered employee payroll,Contrib. as perc. Of CEC,Plan Fiduciary Net Position,Total Pension Liability,Funded Ratio
2020.00,VALUES UNAVAILABLE --->,,,,,<---
2019.00,6335317.00,10404063.00,0.61,118924477.00,152353535.00,0.78
2018.00,5681991.00,10016927.00,0.57,110204130.00,140022182.00,0.79
2017.00,5513902.00,9121573.00,0.60,100358049.00,124812416.00,0.80
2016.00,5455449.00,9322883.00,0.59,89872797.00,122849567.00,0.73
2015.00,4821859.00,8949846.00,0.54,89279739.00,123013589.00,0.73
2014.00,4642152.00,8643663.00,0.54,81385297.00,119429762.00,0.68
2013.00,4327098.00,8123801.00,0.53,77003976.00,112266982.00,0.69
2012.00,4108746.00,8499730.00,0.48,67953975.00,107209059.00,0.63
2011.00,3689647.00,8447873.00,0.44,66623614.00,101804358.00,0.65
(Ending June 30),,,,,,
