Fiscal Year Ending,Employer Contributions,Covered employee payroll,Contrib. as perc. Of CEC,Plan Fiduciary Net Position,Total Pension Liability,Funded Ratio
2020,VALUES UNAVAILABLE --->,,,,,<---
2019,"$581,936,012.00","$1,228,986,864.00",47.35%,"$3,162,428,863.00","$14,789,602,350.00",21.38%
2018,"$589,635,278.00","$1,205,324,445.00",48.92%,"$2,905,179,841.00","$13,313,258,366.00",21.82%
2017,"$494,580,430.00","$1,150,406,094.00",42.99%,"$3,122,066,293.00","$13,454,462,563.00",23.20%
2016,"$273,840,486.00","$1,119,526,987.00",24.46%,"$2,865,018,804.00","$13,113,091,688.00",21.85%
2015,"$575,927,645.00","$1,086,607,979.00",53.00%,"$3,058,949,037.00","$12,032,733,000.00",25.42%
2014,"$178,158,132.00","$1,074,333,318.00",16.58%,"$3,062,014,322.00","$11,773,430,559.00",26.01%
2013,"$179,521,259.00","$1,015,426,128.00",17.68%,"$3,265,200,554.00","$10,282,338,599.00",31.76%
2012,"$197,885,552.00","$1,015,170,686.00",19.49%,"$3,213,433,234.00","$10,051,827,391.00",31.97%
2011,"$174,034,600.00","$1,034,403,526.00",16.82%,"$3,175,508,681.00","$9,522,395,036.00",33.35%
(Ending Dec. 31),,,,,,
