Fiscal Year Ending,Employer Contributions,Covered employee payroll,Contrib. as perc. Of CEC,Plan Fiduciary Net Position,Total Pension Liability,Funded Ratio
2020.00,VALUES UNAVAILABLE --->,,,,,<---
2019.00,581936012.00,1228986864.00,0.47,3162428863.00,14789602350.00,0.21
2018.00,589635278.00,1205324445.00,0.49,2905179841.00,13313258366.00,0.22
2017.00,494580430.00,1150406094.00,0.43,3122066293.00,13454462563.00,0.23
2016.00,273840486.00,1119526987.00,0.24,2865018804.00,13113091688.00,0.22
2015.00,575927645.00,1086607979.00,0.53,3058949037.00,12032733000.00,0.25
2014.00,178158132.00,1074333318.00,0.17,3062014322.00,11773430559.00,0.26
2013.00,179521259.00,1015426128.00,0.18,3265200554.00,10282338599.00,0.32
2012.00,197885552.00,1015170686.00,0.19,3213433234.00,10051827391.00,0.32
2011.00,174034600.00,1034403526.00,0.17,3175508681.00,9522395036.00,0.33
(Ending Dec. 31),,,,,,
