Fiscal Year Ending,Employer Contributions,Covered employee payroll,Contrib. as perc. Of CEC,Plan Fiduciary Net Position,Total Pension Liability,Funded Ratio
2020,"$1,721,967.00","$4,905,703.00",35.10%,"$40,794,294.00","$67,609,521.00",60.34%
2019,"$1,035,976.00","$4,712,958.00",21.98%,"$40,274,853.00","$62,857,683.00",64.07%
2018,"$1,263,112.00","$4,564,608.00",27.67%,"$39,267,620.00","$59,881,095.00",65.58%
2017,"$1,230,207.00","$4,597,710.00",26.76%,"$37,595,358.00","$57,327,818.00",65.58%
2016,"$1,396,843.00","$4,481,382.00",31.17%,"$34,962,441.00","$50,967,232.00",68.60%
2015,"$1,850,383.00","$4,111,495.00",45.01%,"$34,517,135.00","$50,604,149.00",68.21%
2014,"$2,254,203.00","$4,124,681.00",54.65%,"$33,860,394.00","$47,238,793.00",71.68%
2013,"$2,138,159.00","$3,972,920.00",53.82%,"$29,542,951.00","$45,058,874.00",65.57%
2012,"$1,980,275.00","$3,859,220.00",51.31%,"$28,136,088.00","$43,831,125.00",64.19%
2011,"$1,981,806.00","$3,547,806.00",55.86%,"$26,606,709.00","$40,648,279.00",65.46%
(Ending June 30),,,,,,
